N;Hakimi;PrimDijkstra;Lepszy;%
1;227 248;0;PrimDijkstra;100%;
2;227 304;0;PrimDijkstra;100%;
3;227 200;0;PrimDijkstra;100%;
4;227 216;0;PrimDijkstra;100%;
5;908 797,3333;227 200;PrimDijkstra;75%;
6;1 363 208;0;PrimDijkstra;100%;
7;2 044 800;0;PrimDijkstra;100%;
8;4 544 026,6667;0;PrimDijkstra;100%;
9;-8 499 570,6667;0;Hakimi;?%;
10;5 997 101,3333;0;PrimDijkstra;100%;
11;13 956 200;439 946,6667;PrimDijkstra;96,85%;
12;-1 872 752;211 152;Hakimi;986,92%;
13;-10 366 770,6667;207 632;Hakimi;5 092,86%;
14;14 400 834,6667;439 864;PrimDijkstra;96,95%;
15;24 712 349,3333;710 821,3333;PrimDijkstra;97,12%;
16;31 279 152;0;PrimDijkstra;100%;
17;5 653 664;-40 687 506,6667;PrimDijkstra;819,67%;
18;757 626,6667;0;PrimDijkstra;100%;
19;33 619 210,6667;1 660 792;PrimDijkstra;95,06%;
20;7 998 666,6667;1 192 813,3333;PrimDijkstra;85,09%;
